,sq_mi,pop_dens,lat,lng,rad,lex_div,zipf_fit,top_word
"St Louis, Missouri",61.9,5157.0,38.6357,-90.2446,16.950939084947112,0.10240157555593797,0.954595397437085,the
"Riverside, California",81.1,3745.0,33.9381,-117.3932,17.75555485663985,0.14961560527825588,0.9389233320550723,i
"Corpus Christi, Texas",160.6,1900.0,27.7543,-97.1734,20.348693393554605,0.14701132706469827,0.9441650094493198,i
"Lexington, Kentucky",283.6,1043.0,38.0402,-84.4584,23.295647183950024,0.13409965515518016,0.9537471425743093,the
"Pittsburgh, Pennsylvania",55.4,5521.0,40.4398,-79.9766,16.65074561344297,0.14023986948278142,0.9467279723078833,the
"Anchorage, Alaska",1704.7,171.0,61.2176,-149.8953,40.582700490932055,0.14770126282557222,0.9557440681361291,the
"Stockton, California",61.7,4730.0,37.9763,-121.3133,16.94194429746619,0.12872853188556038,0.9387121659868104,you
"Cincinnati, Ohio",77.9,3810.0,39.1399,-84.5064,17.628660177318636,0.1370608905125474,0.9449043002371932,i
"Saint Paul, Minnesota",52.0,5484.0,44.9489,-93.1039,16.486686180259447,0.1435913939818452,0.9481805789413719,i
"Toledo, Ohio",80.7,3559.0,41.6641,-83.5819,17.739831651929563,0.14503767000423992,0.9440639701585052,i
"Greensboro, North Carolina",126.5,2131.0,36.0965,-79.8271,19.340653526960097,0.13470274745175143,0.9517099587799216,i
"Newark, New Jersey",24.2,11458.0,40.7242,-74.1726,14.866172092851881,0.15403600892848363,0.9550575447260041,the
"Plano, Texas",71.6,3630.0,33.0508,-96.7479,17.3709767873273,0.13739677726860305,0.9469677847833362,i
"Henderson, Nevada",107.7,2392.0,36.0122,-115.0375,18.725922590249596,0.07579997912891688,0.9413719011492552,rt
"Lincoln, Nebraska",89.1,2899.0,40.809,-96.6804,18.062245305052762,0.12843449137505644,0.9480786320478787,the
"Buffalo, New York",40.4,6471.0,42.8925,-78.8597,15.88210767751551,0.12801788703850558,0.9480168801746645,i
"Jersey City, New Jersey",14.8,16737.0,40.7114,-74.0648,14.107960768413752,0.14903676384038922,0.954676332844727,rt
"Chula Vista, California",49.6,4915.0,32.6277,-117.0152,16.367626505862155,0.17180947943580838,0.9474502992157815,i
"Fort Wayne, Indiana",110.6,2293.0,41.0882,-85.1439,18.824063643697947,0.14915569293747846,0.9373871610302609,i
"Orlando, Florida",102.4,2327.0,28.4159,-81.2988,18.54308419466599,0.11373903800159448,0.9434779089562925,you
"St Petersburg, Florida",61.7,3964.0,27.762,-82.6441,16.94194429746619,0.1569269998107513,0.9493592857739878,i
"Chandler, Arizona",64.4,3666.0,33.2829,-111.8549,17.062171050311107,0.14050342789360462,0.9517039999765015,i
"Laredo, Texas",88.9,2655.0,27.5477,-99.4869,18.054749986979978,0.17168184861980634,0.9434416549525715,a
"Norfolk, Virginia",54.1,4486.0,36.923,-76.2446,16.588628116245,0.14563998163782607,0.9498512139079889,i
"Durham, North Carolina",107.4,2127.0,35.981,-78.9056,18.71569505089117,0.13729514204462165,0.946333790468577,the
"Madison, Wisconsin",76.8,3037.0,43.0878,-89.4301,17.58444002059853,0.1412284259384435,0.9515016204371005,the
"Lubbock, Texas",122.4,1875.0,33.5665,-101.8867,19.210709552909844,0.13085794929193634,0.9551972401273046,the
"Irvine, California",66.1,3213.0,33.6784,-117.7713,17.13657960738859,0.14847810753621615,0.9392412722873819,i
"WinstonSalem, North Carolina",132.4,1734.0,36.1033,-80.2606,19.52400490938986,0.14284780904259953,0.9560123861881802,i
"Glendale, Arizona",60.0,3780.0,33.5331,-112.1899,16.864892241718326,0.15501068933419257,0.9475024666803813,i
"Garland, Texas",57.1,3974.0,32.9098,-96.6304,16.730886669623683,0.1332522087696335,0.9553950645523321,to
"Hialeah, Florida",21.5,10474.0,25.8699,-80.3029,14.666385928817665,0.1638724671690961,0.9521047726916219,rt
"Reno, Nevada",103.0,2186.0,39.4745,-119.7765,18.564016713870327,0.15298341914382113,0.9467452624044329,i
"Chesapeake, Virginia",340.8,652.0,36.6794,-76.3018,24.44140176433124,0.14468374738684428,0.9506121050390003,i
"Gilbert, Arizona",68.0,3067.0,33.3102,-111.7422,17.218618561511967,0.15231978922234574,0.9513043603464676,i
"Baton Rouge, Louisiana",76.9,2982.0,30.4485,-91.1259,17.58847306583766,0.13704035144809631,0.9408432436691495,i
"Irving, Texas",67.0,3227.0,32.8577,-96.97,17.175585118061775,0.13084055327557378,0.9608090900863371,the
"Scottsdale, Arizona",183.9,1182.0,33.6687,-111.8237,20.976722928885593,0.15458299932013517,0.9500817307604598,i
"North Las Vegas, Nevada",101.3,2141.0,36.283,-115.0893,18.504548006129898,0.06344527397448965,0.934581949963952,rt
"Fremont, California",77.5,2764.0,37.4944,-121.9411,17.61261646566103,0.11951715425006909,0.9631883085584062,rt
"Boise, Idaho",79.4,2592.0,43.5985,-116.2311,17.68846026747601,0.13288573475858143,0.9559970891947045,the
"Richmond, Virginia",59.8,3415.0,37.5314,-77.476,16.85575591246359,0.12974764507500872,0.9545146932731747,rt
"San Bernardino, California",59.2,3546.0,34.1393,-117.2953,16.82825487016084,0.12898089171974522,0.9594827641691042,the
"Birmingham, Alabama",146.1,1453.0,33.5274,-86.799,19.9345959398033,0.1316517303050145,0.9472947377023483,for
